mode,scenario,metric,unit,observed_trials,predicted_trials,all_observed_mean,matched_observed_mean,predicted_mean,ratio_error_percent,mape_percent,wape_percent,ratio_error_ci95_low,ratio_error_ci95_high
hybrid,engram-distinct-text,exact_itl_ms,ms,40,40,161.77263632379032,161.77263632379032,142.92020587096778,-11.65365841914644,11.616969477597499,11.65365841914645,-12.296589941470137,-11.150773445983708
silicon,short,ttft_ms,ms,40,40,349.78538815,349.78538815,315.129945,-9.907630313916528,8.53221108894628,9.907630313916524,-14.839322668414814,-7.147059230592901
silicon,short,average_tpot_ms,ms,40,40,156.99100392857142,156.99100392857142,134.38313900000003,-14.400739126974205,14.186132694601579,14.400739126974216,-16.06397309311151,-13.486344907261243
silicon,short,output_tokens_per_second,tokens/s,40,40,5.536777078607107,5.536777078607107,6.369059244241634,15.031888656855674,15.363508780271273,15.031888656855685,13.712693186987313,17.013262421106425
silicon,short,request_latency_ms,ms,40,40,1449.0490845,1449.0490845,1255.811918,-13.33544657437723,13.08561696719964,13.335446574377226,-15.118421666025883,-12.079088523266492
silicon,short,last_token_latency_ms,ms,40,40,1448.72241565,1448.72241565,1255.811918,-13.3159047976383,13.066022375691789,13.3159047976383,-15.099270307673814,-12.059932328587612
silicon,short,exact_itl_ms,ms,40,40,156.99100392857142,156.99100392857142,134.38313900000003,-14.400739126974205,14.18613269460158,14.400739126974216,-16.06397309311151,-13.486344907261243
silicon,boundary-127,ttft_ms,ms,40,40,346.314633075,346.314633075,372.93163699999997,7.6857866757352955,7.698303072584792,7.685786675735315,7.302042132780177,8.027609639577705
silicon,boundary-127,average_tpot_ms,ms,40,40,156.81919501833335,156.81919501833335,135.31474846666666,-13.712891810949968,13.636731380719857,13.712891810949953,-14.678820522483417,-13.045896725328877
silicon,boundary-127,output_tokens_per_second,tokens/s,40,40,5.932314583909938,5.932314583909938,6.658517110276639,12.241470274289924,12.318743203364566,12.241470274289926,11.564266432978775,13.246808763120194
silicon,boundary-127,request_latency_ms,ms,40,40,2698.9491242,2698.9491242,2402.652864,-10.97820842724575,10.916921092623864,10.97820842724576,-11.856247806198294,-10.377412547960528
silicon,boundary-127,last_token_latency_ms,ms,40,40,2698.60255835,2698.60255835,2402.652864,-10.9667758756944,10.905464914355882,10.966775875694411,-11.844875970920617,-10.366214182330049
silicon,boundary-127,exact_itl_ms,ms,40,40,156.81919501833335,156.81919501833335,135.31474846666666,-13.712891810949968,13.636731380719857,13.712891810949953,-14.678820522483417,-13.045896725328877
silicon,boundary-128,ttft_ms,ms,40,40,345.394471575,345.394471575,361.596464,4.690866171400732,4.6944105655881625,4.690866171400736,4.4979380319237094,4.8726651774113625
silicon,boundary-128,average_tpot_ms,ms,40,40,156.33202204166668,156.33202204166668,135.36235033333332,-13.413548570838785,13.357285387992603,13.413548570838781,-14.219706467364647,-12.943176874843727
silicon,boundary-128,output_tokens_per_second,tokens/s,40,40,5.949363730889907,5.949363730889907,6.688059428029883,12.416381491428519,12.473352825152489,12.41638149142852,11.933804922607719,13.243350645414521
silicon,boundary-128,request_latency_ms,ms,40,40,2690.7262201,2690.7262201,2392.031719,-11.100887889251654,11.055832799019775,11.100887889251666,-11.828545353995997,-10.67393324282205
silicon,boundary-128,last_token_latency_ms,ms,40,40,2690.3748022,2690.3748022,2392.031719,-11.089275849448033,11.044214563998766,11.08927584944804,-11.817037160545361,-10.66212821704905
silicon,boundary-128,exact_itl_ms,ms,40,40,156.33202204166668,156.33202204166668,135.36235033333332,-13.413548570838785,13.357285387992604,13.413548570838781,-14.219706467364647,-12.943176874843727
silicon,boundary-129,ttft_ms,ms,40,40,344.770812,344.770812,359.264744,4.203932437296931,4.2060811645622,4.203932437296925,4.057349632050333,4.349166682550173
silicon,boundary-129,average_tpot_ms,ms,40,40,157.591647425,157.591647425,135.39208026666668,-14.086766349021374,13.932620166512049,14.086766349021387,-15.36001337745303,-12.98872325341547
silicon,boundary-129,output_tokens_per_second,tokens/s,40,40,5.914472996075211,5.914472996075211,6.693343370189,13.168888836429549,13.326540956631904,13.16888883642955,12.074720665689318,14.513390660003488
silicon,boundary-129,request_latency_ms,ms,40,40,2708.997087675,2708.997087675,2390.145948,-11.77008056323362,11.647164586721345,11.770080563233622,-12.922077160164447,-10.786192520349505
silicon,boundary-129,last_token_latency_ms,ms,40,40,2708.645523375,2708.645523375,2390.145948,-11.758628902394964,11.635712668963759,11.758628902394962,-12.910744701780557,-10.774668354375258
